,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
1442,上14賄,並,一,合,灰,上,蟹,蒲罪,buɒi˨˦ 'x,buö́i,bei4,琲痱𢳁蓓,,buɒi˨˦ 'x,buö́i,3,賄,
2508,去18隊,並,一,合,灰,去,蟹,蒲昧,buɒi˧˩ 'h,buö̀i,bei4,佩珮孛鄁邶偝誖悖背㻗𢂤苝焙(𤉮𤊷),,buɒi˧˩ 'h,buö̀i,12,隊,
2523,去18隊,幫,一,合,灰,去,蟹,補妹,puɒi˧˩ 'h,puö̀i,bei4,背輩誖褙(䋳)倍,,puɒi˧˩ 'h,puö̀i,3,隊,
2160,去5寘,幫,三,開,支B,去,止,彼義,pɨɪ˧˩ 'h,pyï̀,bei4,賁佊詖貱陂跛藣,,pɨɪ˧˩ 'h,pyï̀,7,寘,
1204,上4紙,並,三,開,支B,上,止,皮彼,bɨɪ˨˦ 'x,byḯ,bei4,被罷,,bɨɪ˨˦ 'x,byḯ,2,紙,
2161,去5寘,並,三,開,支B,去,止,平義,bɨɪ˧˩ 'h,byï̀,bei4,髲被鞁㢰旇𤿙,,bɨɪ˧˩ 'h,byï̀,6,寘,
1272,上5旨,並,三,開,脂B,上,止,符鄙,bɨi˨˦ 'x,byí,bei4,否痞圮仳殍𢁦(㠲)䤏(𡺮)𢻹,,bɨi˨˦ 'x,byí,8,紙,
2207,去6至,並,三,開,脂B,去,止,平祕,bɨi˧˩ 'h,byì,bei4,備俻𤰇𤰈𡚤奰䑄糒犕絥鞴韍贔𣖾㣁𩇯㸢,,bɨi˧˩ 'h,byì,17,寘,
496,上平23魂,幫,一,合,魂,平,臻,博昆,puon˧˧,puon,ben1,奔(𢍃)賁䴅犇錛,,puon˧˧,puon,4,元,
865,下平12庚,幫,二,開,庚,平,梗,甫盲,pʅæŋ˧˧,präng,ben1,閍祊𥛱騯嗙㔙(奟𠡮),,pʅæŋ˧˧,präng,6,庚,
892,下平13耕,幫,二,開,耕,平,梗,布耕,pʅɛŋ˧˧,preng,ben1,浜捠,,pʅɛŋ˧˧,preng,2,庚,
902,下平13耕,幫,二,開,耕,平,梗,北萌,pʅɛŋ˧˧,preng,ben1,綳(繃)絣𢆸拼䑫,改上聲 北耿切,pʅɛŋ˨˦ 'x,préng,5,庚,
972,下平17登,幫,一,開,登,平,曾,北滕,pəŋ˧˧,pëng,ben1,崩(𡹔𨻱),,pəŋ˧˧,pëng,1,蒸,
1867,上38梗,幫,二,開,庚,上,梗,布梗,pʅæŋ˨˦ 'x,prä́ng,ben3,浜㑟𧚭,,pʅæŋ˨˦ 'x,prä́ng,3,梗,
1166,上1懂,幫,一,開,東,上,通,邊孔,puŋ˨˦ 'x,púng,ben3,琫菶𦂌(䋽)俸,,puŋ˨˦ 'x,púng,4,董,
1533,上21混,幫,一,合,魂,上,臻,布忖,puon˨˦ 'x,púon,ben3,本(夲)畚𤲙笨㡷苯,,puon˨˦ 'x,púon,6,阮,
3025,去48嶝,幫,一,開,登,去,曾,方隥,pəŋ˧˩ 'h,pë̀ng,ben4,𥦜堋,,pəŋ˧˩ 'h,pë̀ng,2,徑,
3026,去48嶝,並,一,開,登,去,曾,父鄧,bəŋ˧˩ 'h,bë̀ng,ben4,倗,,bəŋ˧˩ 'h,bë̀ng,1,徑,
2960,去43映,幫,二,開,庚,去,梗,北孟,pʅæŋ˧˩ 'h,prä̀ng,ben4,榜𧻓(𨔧)跰,,pʅæŋ˧˩ 'h,prä̀ng,3,敬,
2964,去43映,並,二,開,庚,去,梗,蒲孟,bʅæŋ˧˩ 'h,brä̀ng,ben4,膨甏,,bʅæŋ˧˩ 'h,brä̀ng,1,敬,
2968,去44諍,幫,二,開,耕,去,梗,北諍,pʅɛŋ˧˩ 'h,prèng,ben4,迸,,pʅɛŋ˧˩ 'h,prèng,1,敬,
2969,去44諍,並,二,開,耕,去,梗,蒲迸,bʅɛŋ˧˩ 'h,brèng,ben4,𠊧䨻,,bʅɛŋ˧˩ 'h,brèng,2,敬,
1874,上38梗,並,二,開,庚,上,梗,蒲猛,bʅæŋ˨˦ 'x,brä́ng,ben4,鮩,,bʅæŋ˨˦ 'x,brä́ng,1,梗,
1880,上39耿,並,二,開,耕,上,梗,蒲幸,bʅɛŋ˨˦ 'x,bréng,ben4,𠊧(傡併)𩶁蠯螷,,bʅɛŋ˨˦ 'x,bréng,4,梗,
1170,上1懂,並,一,開,東,上,通,蒲蠓,buŋ˨˦ 'x,búng,ben4,菶唪埲,,buŋ˨˦ 'x,búng,3,董,
1543,上21混,並,一,合,魂,上,臻,蒲本,buon˨˦ 'x,búon,ben4,獖笨夯㨧体,,buon˨˦ 'x,búon,4,阮,
2622,去26慁,並,一,合,魂,去,臻,蒲悶,buon˧˩ 'h,bùon,ben4,坌𣴞,,buon˧˩ 'h,bùon,2,願,
2625,去26慁,幫,一,合,魂,去,臻,甫悶,puon˧˩ 'h,pùon,ben4,奔,,puon˧˩ 'h,pùon,1,願,
116,上平5支,幫,三,開,支A,平,止,府移,piɪ˧˧,piï,bi1,卑鵯(𨿵)椑箄裨鞞𩔹痺渒錍𢃍㗗,,piɪ˧˧,piï,11,支,
302,上平12齊,幫,四,開,齊,平,蟹,邊兮,piɛi˧˧,piei,bi1,豍㡙螕㯅𦱔蓖𦀘篦梐𥏠𨻼狴箄鎞悂䚜,,piɛi˧˧,piei,16,齊,
1254,上5旨,幫,三,開,脂B,上,止,方美,pɨi˨˦ 'x,pyí,bi3,鄙啚娝痞,,pɨi˨˦ 'x,pyí,4,紙,
1258,上5旨,幫,三,開,脂A,上,止,卑履,pi˨˦ 'x,pí,bi3,比匕妣秕䃾沘枇朼疕髀,,pi˨˦ 'x,pí,10,紙,
1408,上11薺,幫,四,開,齊,上,蟹,補米,piɛi˨˦ 'x,piéi,bi3,㪏𤽊,,piɛi˨˦ 'x,piéi,2,薺,
1225,上4紙,幫,三,開,支A,上,止,并弭,piɪ˨˦ 'x,piḯ,bi3,𢔌俾鞞箄𪐄髀崥𦸣𠬈𢳋,,piɪ˨˦ 'x,piḯ,10,紙,
2151,去5寘,並,三,開,支A,去,止,毗義,biɪ˧˩ 'h,biï̀,bi4,避,,biɪ˧˩ 'h,biï̀,1,寘,
2164,去5寘,幫,三,開,支A,去,止,卑義,piɪ˧˩ 'h,piï̀,bi4,臂,,piɪ˧˩ 'h,piï̀,1,寘,
2204,去6至,幫,三,開,脂B,去,止,兵媚,pɨi˧˩ 'h,pyì,bi4,祕(秘)毖閟柲䀣䪐邲轡鉍泌鄪費粊䉾𡛗,,pɨi˧˩ 'h,pyì,15,寘,
2233,去6至,並,三,開,脂A,去,止,毗至,bi˧˩ 'h,bì,bi4,鼻比枇𤹝坒襣䃾䫁䑄芘,,bi˧˩ 'h,bì,10,寘,
2235,去6至,幫,三,開,脂A,去,止,必至,pi˧˩ 'h,pì,bi4,痹畀庇𦸣䃾比,,pi˧˩ 'h,pì,6,寘,
1228,上4紙,並,三,開,支A,上,止,便俾,biɪ˨˦ 'x,biḯ,bi4,婢庳,,biɪ˨˦ 'x,biḯ,2,紙,
1264,上5旨,並,三,開,脂A,上,止,扶履,bi˨˦ 'x,bí,bi4,牝,,bi˨˦ 'x,bí,1,紙,
1405,上11薺,並,四,開,齊,上,蟹,傍禮,biɛi˨˦ 'x,biéi,bi4,陛梐髀䯗㙄𦸣𤙞𠈺,,biɛi˨˦ 'x,biéi,8,薺,
