,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
2374,去12霽,幫,四,開,齊,去,蟹,博計,piɛi˧˩ 'h,pièi,bi4,閉閇㪏嬖箅,,piɛi˧˩ 'h,pièi,5,霽,
2379,去12霽,並,四,開,齊,去,蟹,蒲計,biɛi˧˩ 'h,bièi,bi4,薜䥍𥴬𨢡(𨡕)𣘥鐾,,biɛi˧˩ 'h,bièi,5,霽,
2393,去13祭,並,三,開,祭A,去,蟹,毗祭,biɛj˧˩ 'h,bièj,bi4,獘(弊)斃幣㡀敝,,biɛj˧˩ 'h,bièj,5,霽,
2396,去13祭,幫,三,開,祭A,去,蟹,必袂,piɛj˧˩ 'h,pièj,bi4,蔽鄨鷩彆,,piɛj˧˩ 'h,pièj,4,霽,
3769,入26緝,並,三,開,侵B,入,深,皮及,bɨp˥,byp,bi5,𩾳,,bɨp˥,byp,1,緝,
3770,入26緝,幫,三,開,侵B,入,深,彼及,pɨp˥,pyp,bi5,鵖皀,,pɨp˥,pyp,2,緝,
3712,入24職,幫,三,開,蒸,入,曾,彼側,pɨk˥,pyk,bi5,逼偪皕幅楅䮠湢䫾㘠皀,,pɨk˥,pyk,10,職,
3717,入24職,並,三,開,蒸,入,曾,符逼,bɨk˥,byk,bi5,愎腷𤐧𥻅𤗚馥踾鶝𪀐,,bɨk˥,byk,8,職,
3304,入5質,幫,三,開,眞A,入,臻,卑吉,pit˥,pit,bi5,必畢篳蓽韠㻫䟆蹕滭(㳼)㪤鷝觱珌㓖熚𡠚彃㮿縪鮅饆鏎𠦒𡻞𥀕𥛘罼,,pit˥,pit,27,質,
3306,入5質,並,三,開,眞A,入,臻,毗必,bit˥,bit,bi5,邲比柲馝苾䩛佖駜坒飶綼鮅怭泌𨠔䖩吡𣢠咇妼,,bit˥,bit,21,質,鮩(蒲杏切非蒲吉切)
3312,入5質,並,三,開,眞B,入,臻,房密,bɨt˥,byt,bi5,弼𢐀㢸㔗䄶𢘍駜胇邲佖,,bɨt˥,byt,10,質,
3315,入5質,幫,三,開,眞B,入,臻,鄙密,pɨt˥,pyt,bi5,筆潷鉍柲泌𢴩咇㻶𨅗,,pɨt˥,pyt,9,質,
3684,入23錫,並,四,開,青,入,梗,扶歷,biɛk˥,biek,bi5,甓鷿(鸊)椑㱸,,biɛk˥,biek,4,錫,
3685,入23錫,幫,四,開,青,入,梗,北激,piɛk˥,piek,bi5,壁鼊繴廦綼𧲜,,piɛk˥,piek,6,錫,
3623,入20陌,並,三,開,庚,入,梗,弼戟,bɨæk˥,byäk,bi5,欂𣝍,,bɨæk˥,byäk,2,陌,
3659,入22昔,並,三,開,清,入,梗,房益,biæk˥,biäk,bi5,擗椑躃闢辟㱸𩪧萆𣮐,,biæk˥,biäk,9,陌,
3662,入22昔,幫,三,開,清,入,梗,必益,piæk˥,piäk,bi5,辟璧(𤩹)鐴躄(𣦢)襞𨐨,,piæk˥,piäk,7,陌,
3665,入22昔,幫,三,合,清,入,梗,彼役,pyæk˥,pväk,bi5,碧,,pyæk˥,pväk,1,陌,
1036,下平20幽,幫,三,開,幽,平,流,甫烋,piu˧˧,piu,biao1,彪髟驫,,piu˧˧,piu,3,尤,
671,下平4宵,幫,三,開,宵A,平,效,甫遙,piæu˧˧,piäu,biao1,飊標(𣠙)猋杓瘭幖熛䙳𤒾㠒𧽤蔈驫𦠎𣄠贆髟,,piæu˧˧,piäu,15,蕭,
672,下平4宵,幫,三,開,宵B,平,效,甫嬌,pɨæu˧˧,pyäu,biao1,鑣𩽁臕儦瀌𦔩(穮)藨,,pɨæu˧˧,pyäu,7,蕭,
1689,上30小,幫,三,開,宵B,上,效,陂矯,pɨæu˨˦ 'x,pyä́u,biao3,表𧘝𧞧䔸裱婊,,pɨæu˨˦ 'x,pyä́u,4,篠,
1690,上30小,幫,三,開,宵A,上,效,方小,piæu˨˦ 'x,piä́u,biao3,褾𧢄(𧢨)標㟽,,piæu˨˦ 'x,piä́u,4,篠,
2782,去35笑,並,三,開,宵A,去,效,毗召,biæu˧˩ 'h,biä̀u,biao4,驃票,,biæu˧˩ 'h,biä̀u,1,嘯,
2785,去35笑,幫,三,開,宵B,去,效,方廟,pɨæu˧˩ 'h,pyä̀u,biao4,裱俵,,pɨæu˧˩ 'h,pyä̀u,2,嘯,
1683,上30小,並,三,開,宵A,上,效,符少,biæu˨˦ 'x,biä́u,biao4,摽𢹰鰾慓顠𩮳膘𦭼,,biæu˨˦ 'x,biä́u,8,篠,
1691,上30小,並,三,開,宵B,上,效,平表,bɨæu˨˦ 'x,byä́u,biao4,藨𦳤殍莩𠬪𧴎,,bɨæu˨˦ 'x,byä́u,8,篠,
594,下平1先,幫,四,開,先,平,山,布玄,piɛn˧˧,pien,biän1,邊籩𤄺(𤁻)甂蝙猵𥣰稨編萹𨇱𠑟牑䟍蹁,,piɛn˧˧,pien,14,先,
627,下平2仙,幫,三,開,仙A,平,山,卑連,piæn˧˧,piän,biän1,鞭鯾鯿編箯揙,,piæn˧˧,piän,6,先,
1101,下平24鹽,幫,三,開,鹽B,平,咸,府廉,pɨæm˧˧,pyäm,biän1,砭𥑁,,pɨæm˧˧,pyäm,2,鹽,
2036,上50琰,幫,三,開,鹽B,上,咸,方斂,pɨæm˨˦ 'x,pyä́m,biän3,貶𦥘,,pɨæm˨˦ 'x,pyä́m,2,琰,
1612,上27銑,幫,四,開,先,上,山,方典,piɛn˨˦ 'x,pién,biän3,扁編匾緶𦄒萹𥣰(藊)𥤓惼碥糄,,piɛn˨˦ 'x,pién,11,銑,
1638,上28獮,幫,三,開,仙A,上,山,方緬,piæn˨˦ 'x,piä́n,biän3,褊㦚,,piæn˨˦ 'x,piä́n,2,銑,
1641,上28獮,幫,三,開,仙B,上,山,方免,pɨæn˨˦ 'x,pyä́n,biän3,辡䁵覸鴘,,pɨæn˨˦ 'x,pyä́n,4,銑,
3130,去55豔,幫,三,開,鹽B,去,咸,方驗,pɨæm˧˩ 'h,pyä̀m,biän4,窆砭,,pɨæm˧˩ 'h,pyä̀m,2,豔,
1615,上27銑,並,四,開,先,上,山,薄泫,biɛn˨˦ 'x,bién,biän4,辮艑𪉱扁㲢𤻶𩩯,,biɛn˨˦ 'x,bién,7,銑,
1636,上28獮,並,三,開,仙B,上,山,符蹇,bɨæn˨˦ 'x,byä́n,biän4,辯辡辨𧦪諞,,bɨæn˨˦ 'x,byä́n,5,銑,
1656,上28獮,並,三,開,仙A,上,山,符善,biæn˨˦ 'x,biä́n,biän4,楩𢣑諞扁,,biæn˨˦ 'x,biä́n,4,銑,
2733,去33線,幫,三,開,仙B,去,山,彼眷,pɨæn˧˩ 'h,pyä̀n,biän4,變,,pɨæn˧˩ 'h,pyä̀n,1,霰,
2736,去33線,並,三,開,仙B,去,山,皮變,bɨæn˧˩ 'h,byä̀n,biän4,卞拚抃弁𡭪汴㺕閞昪匥䒪笲㺹忭䪻,,bɨæn˧˩ 'h,byä̀n,15,霰,
2749,去33線,並,三,開,仙A,去,山,婢面,biæn˧˩ 'h,biä̀n,biän4,便,,biæn˧˩ 'h,biä̀n,1,霰,
2754,去32霰,幫,四,開,先,去,山,方見,piɛn˧˩ 'h,pièn,biän4,徧遍,,piɛn˧˩ 'h,pièn,2,霰,
3481,入16屑,幫,四,開,先,入,山,方結,piɛt˥,piet,bie5,閉㢼䋢𩋇𡘴䌘㭭䘷㔡,,piɛt˥,piet,9,屑,
3486,入16屑,並,四,開,先,入,山,蒲結,biɛt˥,biet,bie5,癟蹩㮰𩓝䭱𥞕咇苾馝䏟飶蛂柲𢛎襒,,biɛt˥,biet,14,屑,
3515,入17薛,並,三,開,仙B,入,山,皮列,bɨæt˥,byät,bie5,别別𡷘,,bɨæt˥,byät,2,屑,
3517,入17薛,幫,三,開,仙B,入,山,方别,pɨæt˥,pyät,bie5,䇷𧧸莂扒别,,pɨæt˥,pyät,5,屑,
3500,入17薛,幫,三,開,仙A,入,山,并列,piæt˥,piät,bie5,憋鷩鼈虌鄨𡐞䳤鱉,,piæt˥,piät,7,屑,
881,下平12庚,幫,三,開,庚,平,梗,甫明,pɨæŋ˧˧,pyäng,bin1,兵,,pɨæŋ˧˧,pyäng,1,庚,
923,下平14清,幫,三,開,清,平,梗,府盈,piæŋ˧˧,piäng,bin1,并栟屏箳,,piæŋ˧˧,piäng,4,庚,
411,上平17眞,幫,三,開,眞A,平,臻,必鄰,pin˧˧,pin,bin1,賓(賔)𡪛濱(瀕)檳䚔顮儐鑌矉𩴱,,pin˧˧,pin,10,眞,
432,上平17眞,幫,三,開,眞B,平,臻,府巾,pɨn˧˧,pyn,bin1,彬斌份玢豳邠汃霦㻞𥇖攽虨砏,,pɨn˧˧,pyn,13,眞,
952,下平16蒸,幫,三,開,蒸,平,曾,筆陵,pɨŋ˧˧,pyng,bin1,冫(仌)冰掤,,pɨŋ˧˧,pyng,3,蒸,
1997,上47寑,幫,三,開,侵B,上,深,筆錦,pɨm˨˦ 'x,pým,bin3,稟,,pɨm˨˦ 'x,pým,1,寑,
1856,上38梗,幫,三,開,庚,上,梗,兵永,pɨæŋ˨˦ 'x,pyä́ng,bin3,丙昞昺怲邴炳秉窉苪蛃,,pɨæŋ˨˦ 'x,pyä́ng,9,梗,
1890,上40靜,幫,三,開,清,上,梗,必郢,piæŋ˨˦ 'x,piä́ng,bin3,餅屏鉼併䴵,,piæŋ˨˦ 'x,piä́ng,5,梗,
1910,上41迥,幫,四,開,青,上,梗,補鼎,piɛŋ˨˦ 'x,piéng,bin3,鞞,,piɛŋ˨˦ 'x,piéng,1,迥,
3013,去47證,並,三,開,蒸,去,曾,皮證,bɨŋ˧˩ 'h,bỳng,bin4,凭靐,,bɨŋ˧˩ 'h,bỳng,2,徑,
2950,去43映,並,三,開,庚,去,梗,皮命,bɨæŋ˧˩ 'h,byä̀ng,bin4,病評枰𡊞(坪),,bɨæŋ˧˩ 'h,byä̀ng,4,敬,
2953,去43映,幫,三,開,庚,去,梗,陂病,pɨæŋ˧˩ 'h,pyä̀ng,bin4,柄棅怲邴鈵寎,,pɨæŋ˧˩ 'h,pyä̀ng,6,敬,
2983,去45勁,幫,三,開,清,去,梗,畀政,piæŋ˧˩ 'h,piä̀ng,bin4,摒併并,,piæŋ˧˩ 'h,piä̀ng,3,敬,
2984,去45勁,並,三,開,清,去,梗,防正,biæŋ˧˩ 'h,biä̀ng,bin4,偋庰,,biæŋ˧˩ 'h,biä̀ng,2,敬,
1476,上16軫,並,三,開,眞A,上,臻,毗忍,bin˨˦ 'x,bín,bin4,牝髕臏猵,,bin˨˦ 'x,bín,4,軫,
1916,上41迥,並,四,開,青,上,梗,蒲迥,biɛŋ˨˦ 'x,biéng,bin4,竝並鮩併,,biɛŋ˨˦ 'x,biéng,4,迥,
2554,去21震,幫,三,開,眞A,去,臻,必刃,pin˧˩ 'h,pìn,bin4,儐擯殯鬢覕𧸈䚔,,pin˧˩ 'h,pìn,7,震,
751,下平8戈,幫,一,合,戈,平,果,博禾,puɒ˧˧,puö,bo1,波皤紴嶓番碆,,puɒ˧˧,puö,6,歌,
1756,上34果,幫,一,合,戈,上,果,布火,puɒ˨˦ 'x,puö́,bo3,跛簸駊㝿,,puɒ˨˦ 'x,puö́,4,哿,
1761,上34果,並,一,合,戈,上,果,捕可,buɒ˨˦ 'x,buö́,bo4,爸,,buɒ˨˦ 'x,buö́,1,哿,
2840,去39過,幫,一,合,戈,去,果,補過,puɒ˧˩ 'h,puö̀,bo4,播簸番𢿥譒,,puɒ˧˩ 'h,puö̀,5,箇,
2850,去39過,並,一,合,戈,去,果,符臥,buɒ˧˩ 'h,buö̀,bo4,縛,,buɒ˧˩ 'h,buö̀,1,箇,
3422,入13末,並,一,合,桓,入,山,蒲撥,buat˥,buat,bo5,拔跋䟛𧺡𧺺魃𢇷軷䣮馛炦颰癹妭犮䚨胈鈸䳊䮂菝坺𩃶茇䯋,,buat˥,buat,25,曷,
3408,入13末,幫,一,合,桓,入,山,北末,puat˥,puat,bo5,撥癶袚茇鉢缽盋䳊鱍䢌𩯌襏帗㤄𦪑驋筏鮁,,puat˥,puat,16,曷,
3373,入11沒,並,一,合,魂,入,臻,蒲没,buot˥,buot,bo5,勃渤𩣡𩱚餑𡋯馞悖(𢟥)䄶郣浡𣭷𢠜㪍誖㶿(𤊹)桲孛艴挬脖𦸦(葧)鵓,,buot˥,buot,23,月,
3579,入19鐸,並,一,合,唐,入,宕,傍各,buak˥,buak,bo5,薄泊亳箔礴簿𩍿鑮踄𩽛(𩼬)䭦(𪎄),,buak˥,buak,11,藥,
3584,入19鐸,幫,一,合,唐,入,宕,補各,puak˥,puak,bo5,博(愽)髆(䯙)搏爆鎛㗘𪙍襮鑮簙䗚猼䍸(𤚽)欂𩌏溥䶈餺䙏𥴮,,puak˥,puak,20,藥,
3270,入4覺,幫,二,開,江,入,江,北角,pʅɒk˥,prök,bo5,剝(剥𠚩𠛧)駮駁𩐟𤕝𦢊嚗𠮭𥭖肑爆𪇰㿺䑈趵,,pʅɒk˥,prök,14,覺,髉(此角切非北角切)
4006,入11沒,幫,一,合,魂,入,臻,逋沒,puot˥,puot,bo5,不,,puot˥,puot,0,月,
3272,入4覺,並,二,開,江,入,江,蒲角,bʅɒk˥,brök,bo5,跑雹𩅟𢷏𩣡䮀骲𩺽䈏瓝瓟㼎謈(𧬉)犦窇𥭓𦢊懪(𢥑)㩧(𢹯),,bʅɒk˥,brök,20,覺,豰(許卜切非評卜切)
1962,上45厚,幫,一,開,侯,上,流,方垢,pu˨˦ 'x,pú,bou3,㨐掊,,pu˨˦ 'x,pú,2,有,
3076,去50候,並,一,開,侯,去,流,蒲候,bu˧˩ 'h,bù,bou4,䏽𩌏,,bu˧˩ 'h,bù,2,宥,
1957,上45厚,並,一,開,侯,上,流,蒲口,bu˨˦ 'x,bú,bou4,部培犃䏽瓿䍌䴺篰蔀婄咅,,bu˨˦ 'x,bú,10,有,
291,上平11模,幫,一,開,模,平,遇,博孤,po˧˧,po,bu1,逋餔𥂈晡鵏庯陠𧻷峬誧秿𩶉(鯆)抪鈽,,po˧˧,po,13,虞,
1391,上10姥,幫,一,開,模,上,遇,博古,po˨˦ 'x,pó,bu3,補譜圃,,po˨˦ 'x,pó,3,麌,
2353,去11暮,幫,一,開,模,去,遇,愽故,po˧˩ 'h,pò,bu4,布圃(𡇊)佈抪𠜙𧉩,,po˧˩ 'h,pò,6,遇,
2358,去11暮,並,一,開,模,去,遇,薄故,bo˧˩ 'h,bò,bu4,步埠捕哺𩊬餔𩷖𩶮𩣝䒀𨛒鵏𤸵荹𩢕,,bo˧˩ 'h,bò,13,遇,鮬(𩶮)鞴(𩊬)
1382,上10姥,並,一,開,模,上,遇,裴古,bo˨˦ 'x,bó,bu4,簿部,,bo˨˦ 'x,bó,2,麌,
3194,入1屋,並,一,開,東,入,通,蒲木,buk˥,buk,bu5,暴曝瀑䗱㲫樸僕䑑𥐁菐𡕡穙,,buk˥,buk,12,屋,
3196,入1屋,幫,一,開,東,入,通,博木,puk˥,puk,bu5,卜濮䧤(𨽂)轐𡡐樸獛蹼纀襆𩯏䪁鳪𪇰,,puk˥,puk,14,屋,
3232,入2沃,並,一,開,冬,入,通,蒲沃,bok˥,bok,bu5,僕䑑瞨鏷䗱轐䴆,,bok˥,bok,7,沃,
3239,入2沃,幫,一,開,冬,入,通,博沃,pok˥,pok,bu5,襮犦𪇰,,pok˥,pok,3,沃,
3786,入27合,清,一,開,覃,入,咸,七合,tsʰɒp˥,tshöp,ca5,䟃㜗遪,,tsʰɒp˥,tshöp,2,合,
3802,入28盍,清,一,開,談,入,咸,倉雜,tsʰap˥,tshap,ca5,囃𥗭(𥗱)䵽,,tsʰap˥,tshap,3,合,
3402,入12曷,清,一,開,寒,入,山,七曷,tsʰat˥,tshat,ca5,攃擦䌨礤,,tsʰat˥,tshat,3,曷,
512,上平25寒,清,一,開,寒,平,山,七安,tsʰan˧˧,tshan,cang1,餐湌(飡)䉔,,tsʰan˧˧,tshan,3,寒,
1073,下平22覃,清,一,開,覃,平,咸,倉含,tsʰɒm˧˧,tshöm,cang1,參驂䟃傪㜗,,tsʰɒm˧˧,tshöm,5,覃,
840,下平11唐,清,一,開,唐,平,宕,七岡,tsʰaŋ˧˧,tshang,cang1,倉蒼鶬𩀞滄凔(傖)𠥐艙,,tsʰaŋ˧˧,tshang,7,陽,
607,下平2仙,崇,三,開,仙B,平,山,士連,dʐɨæn˧˧,dzcyän,cang2,潺孱𨬖䡲𡎻,,dʐɨæn˧˧,dzcyän,5,先,
516,上平25寒,從,一,開,寒,平,山,昨干,dzan˧˧,dzan,cang2,殘䏼㱚𣧻戔𥂥𣦻(𣦼)帴,,dzan˧˧,dzan,7,寒,
1078,下平22覃,從,一,開,覃,平,咸,昨含,dzɒm˧˧,dzöm,cang2,蠶撏䣟𨅔,,dzɒm˧˧,dzöm,4,覃,
1094,下平23談,從,一,開,談,平,咸,昨甘,dzam˧˧,dzam,cang2,慙(慚)鏨䳻㨻,,dzam˧˧,dzam,5,覃,
858,下平11唐,從,一,開,唐,平,宕,昨郎,dzaŋ˧˧,dzang,cang2,藏,,dzaŋ˧˧,dzang,1,陽,
2011,上48感,清,一,開,覃,上,咸,七感,tsʰɒm˨˦ 'x,tshö́m,cang3,慘憯朁黲㜗傪噆䫩,,tsʰɒm˨˦ 'x,tshö́m,8,感,
2026,上49敢,清,一,開,談,上,咸,倉敢,tsʰam˨˦ 'x,tshám,cang3,黲,,tsʰam˨˦ 'x,tshám,1,感,
1852,上37蕩,清,一,開,唐,上,宕,麁朗,tsʰaŋ˨˦ 'x,tsháng,cang3,蒼,,tsʰaŋ˨˦ 'x,tsháng,1,養,
3108,去53勘,清,一,開,覃,去,咸,七紺,tsʰɒm˧˩ 'h,tshö̀m,cang4,謲參㽩,,tsʰɒm˧˩ 'h,tshö̀m,3,勘,
2643,去28翰,清,一,開,寒,去,山,蒼案,tsʰan˧˩ 'h,tshàn,cang4,粲燦璨㛑薒𪆶,,tsʰan˧˩ 'h,tshàn,6,翰,
723,下平6豪,清,一,開,豪,平,效,七刀,tsʰau˧˧,tshau,cao1,操幧𢻥㡟,,tsʰau˧˧,tshau,4,豪,
719,下平6豪,從,一,開,豪,平,效,昨勞,dzau˧˧,dzau,cao2,曹𣍘槽螬嘈鐰䄚艚䏆𩫥䐬蓸漕褿,,dzau˧˧,dzau,14,豪,
1721,上32晧,清,一,開,豪,上,效,采老,tsʰau˨˦ 'x,tsháu,cao3,草艸懆慅騲𠹊愺,,tsʰau˨˦ 'x,tsháu,7,晧,
2813,去37号,清,一,開,豪,去,效,七到,tsʰau˧˩ 'h,tshàu,cao4,操造艁慥㿷糙鄵懆鼜鑿慅肏,,tsʰau˧˩ 'h,tshàu,7,号,
391,上平16咍,清,一,開,咍,平,蟹,倉才,tsʰɒi˧˧,tshöi,cä1,猜偲睵䞗,,tsʰɒi˧˧,tshöi,4,灰,
388,上平16咍,從,一,開,咍,平,蟹,昨哉,dzɒi˧˧,dzöi,cä2,裁纔財才材䴭𦬁溨鼒,,dzɒi˧˧,dzöi,9,灰,
1453,上15海,清,一,開,咍,上,蟹,倉宰,tsʰɒi˨˦ 'x,tshö́i,cä3,采採睬綵寀彩㥒䰂,,tsʰɒi˨˦ 'x,tshö́i,7,賄,
2446,去14泰,清,一,開,泰,去,蟹,倉大,tsʰaj˧˩ 'h,tshàj,cä4,蔡𣞖𪇭,,tsʰaj˧˩ 'h,tshàj,3,泰,
2539,去19代,清,一,開,咍,去,蟹,倉代,tsʰɒi˧˩ 'h,tshö̀i,cä4,菜埰棌䰂䐆,,tsʰɒi˧˩ 'h,tshö̀i,5,隊,
3771,入26緝,初,三,開,侵B,入,深,初戢,tʂʰɨp˥,tschyp,cä5,㞚𡍪䙄𢕬,,tʂʰɨp˥,tschyp,4,緝,
3705,入24職,初,三,開,蒸,入,曾,初力,tʂʰɨk˥,tschyk,cä5,測惻畟𦔎𡍫䔴,,tʂʰɨk˥,tschyk,6,職,
3740,入25德,清,一,開,登,入,曾,七則,tsʰək˥,tshëk,cä5,墄,,tsʰək˥,tshëk,1,職,
3611,入20陌,徹,二,開,庚,入,梗,丑格,ʈʰʅæk˥,tchräk,cä5,拆𡍩(坼)𧼳(𧻀)𩑒㿭𤖴𩎚,,ʈʰʅæk˥,tchräk,6,陌,
3632,入21麥,初,二,開,耕,入,梗,楚革,tʂʰʅɛk˥,tschrek,cä5,策冊笧嫧䶦筴𣆩矠憡皟㥽𧶷拺柵,,tʂʰʅɛk˥,tschrek,14,陌,
3300,入7櫛,初,三,開,臻,入,臻,初栗,tʂʰɨt˥,tschyt,cä5,㓼𠞩𪘧䜉沏,,tʂʰɨt˥,tschyt,4,質,
3601,入20陌,初,三,開,庚,入,梗,測戟,tʂʰɨæk˥,tschyäk,cä5,柵䜺簎,,tʂʰɨæk˥,tschyäk,3,陌,
1070,下平21侵,初,三,開,侵B,平,深,楚簪,tʂʰɨm˧˧,tschym,cen1,嵾參梫𥤇駸槮,,tʂʰɨm˧˧,tschym,6,侵,
870,下平12庚,徹,二,開,庚,平,梗,丑庚,ʈʰʅæŋ˧˧,tchräng,cen1,瞠橕樘䟓竀,,ʈʰʅæŋ˧˧,tchräng,5,庚,
871,下平12庚,初,二,開,庚,平,梗,楚庚,tʂʰʅæŋ˧˧,tschräng,cen1,鎗鐺槍琤,,tʂʰʅæŋ˧˧,tschräng,4,庚,
898,下平13耕,初,二,開,耕,平,梗,楚耕,tʂʰʅɛŋ˧˧,tschreng,cen1,琤錚凈棦噌,,tʂʰʅɛŋ˧˧,tschreng,5,庚,
1068,下平21侵,崇,三,開,侵B,平,深,鋤針,dʐɨm˧˧,dzcym,cen2,岑涔㞥梣𣠟𩅨𩻛䅾笒,,dʐɨm˧˧,dzcym,9,侵,
872,下平12庚,崇,二,開,庚,平,梗,助庚,dʐʅæŋ˧˧,dzcräng,cen2,䚘傖𩫿鬇崢,,dʐʅæŋ˧˧,dzcräng,5,庚,
878,下平12庚,澄,二,開,庚,平,梗,直庚,ɖʅæŋ˧˧,dcräng,cen2,棖盯澄掁(𣪼)䟫挰憕,,ɖʅæŋ˧˧,dcräng,7,庚,
897,下平13耕,崇,二,開,耕,平,梗,士耕,dʐʅɛŋ˧˧,dzcreng,cen2,崢𦱊鬇埩鏳崝,,dʐʅɛŋ˧˧,dzcreng,6,庚,
903,下平13耕,澄,二,開,耕,平,梗,宅耕,ɖʅɛŋ˧˧,dcreng,cen2,橙揨𢾊𢿦湞朾虰憕瞪䆵䁎䆑,,ɖʅɛŋ˧˧,dcreng,12,庚,
454,上平19臻,崇,三,開,臻,平,臻,士臻,dʐɨn˧˧,dzcyn,cen2,𦿒帘㲀,,dʐɨn˧˧,dzcyn,3,眞,
967,下平16蒸,崇,三,開,蒸,平,曾,仕兢,dʐɨŋ˧˧,dzcyng,cen2,磳,,dʐɨŋ˧˧,dzcyng,1,蒸,
975,下平17登,從,一,開,登,平,曾,昨棱,dzəŋ˧˧,dzëng,cen2,層曾䁬,,dzəŋ˧˧,dzëng,3,蒸,
959,下平16蒸,從,三,開,蒸,平,曾,疾陵,dzɨŋ˧˧,dzyng,cen2,繒鄫驓橧竲嶒,,dzɨŋ˧˧,dzyng,6,蒸,
1990,上47寑,初,三,開,侵B,上,深,初朕,tʂʰɨm˨˦ 'x,tschým,cen3,墋醦磣,,tʂʰɨm˨˦ 'x,tschým,3,寑,
1512,上19隱,初,三,開,臻,上,臻,初謹,tʂʰɨn˨˦ 'x,tschýn,cen3,齔(齓),,tʂʰɨn˨˦ 'x,tschýn,1,吻,
2565,去21焮*,初,三,開,臻,去,臻,初覲,tʂʰɨn˧˩ 'h,tschỳn,cen4,櫬瀙嚫䞋襯儭齔,,tʂʰɨn˧˩ 'h,tschỳn,7,問,
3022,去48嶝,清,一,開,登,去,曾,千鄧,tsʰəŋ˧˩ 'h,tshë̀ng,cen4,蹭𠟂,,tsʰəŋ˧˩ 'h,tshë̀ng,2,徑,
2957,去43映,初,二,開,庚,去,梗,楚敬,tʂʰʅæŋ˧˩ 'h,tschrä̀ng,cen4,㵾,,tʂʰʅæŋ˧˩ 'h,tschrä̀ng,1,敬,
2959,去43映,徹,二,開,庚,去,梗,他孟,ʈʰʅæŋ˧˩ 'h,tchrä̀ng,cen4,牚撐,,ʈʰʅæŋ˧˩ 'h,tchrä̀ng,1,敬,
3095,去52沁,初,三,開,侵B,去,深,楚譖,tʂʰɨm˧˩ 'h,tschỳm,cen4,讖,,tʂʰɨm˧˩ 'h,tschỳm,1,沁,
783,下平9麻,初,二,開,麻,平,假,初牙,tʂʰʅa˧˧,tschra,cha1,叉杈差靫鎈䐤𠞊艖䑡,,tʂʰʅa˧˧,tschra,9,麻,
795,下平9麻,徹,二,開,麻,平,假,敕加,ʈʰʅa˧˧,tchra,cha1,侘哆𤵾(𡖹),,ʈʰʅa˧˧,tchra,4,麻,
787,下平9麻,澄,二,開,麻,平,假,宅加,ɖʅa˧˧,dcra,cha2,𡨀塗荼𣘻茶秅𤶠䠧䣝𡝐𥥸梌䅊塗𦛝搽,,ɖʅa˧˧,dcra,15,麻,
794,下平9麻,崇,二,開,麻,平,假,鉏加,dʐʅa˧˧,dzcra,cha2,楂査槎䶥㢒苴查,,dʐʅa˧˧,dzcra,6,麻,
2862,去40禡,徹,二,開,麻,去,假,丑亞,ʈʰʅa˧˩ 'h,tchrà,cha4,詫侘𧬮(𧭑),,ʈʰʅa˧˩ 'h,tchrà,3,禡,
4008,去40禡,初,二,開,麻,去,假,楚嫁,tʂʰʅa˧˩ 'h,tschrà,cha4,岔汊䟕𧫗𥘓衩,,tʂʰʅa˧˩ 'h,tschrà,,禡,
1798,上35馬,徹,二,開,麻,上,假,丑下,ʈʰʅa˨˦ 'x,tchrá,cha3,奼姹,,ʈʰʅa˨˦ 'x,tchrá,1,馬,
3844,入31洽,初,二,開,咸,入,咸,楚洽,tʂʰʅæp˥,tschräp,cha5,插臿鍤扱笈疀㛼𤜯喢,,tʂʰʅæp˥,tschräp,10,洽,
3851,入31洽,徹,二,開,咸,入,咸,丑㘝,ʈʰʅæp˥,tchräp,cha5,𥃐,,ʈʰʅæp˥,tchräp,1,洽,
3432,入14黠,初,二,開,山,入,山,初八,tʂʰʅæt˥,tschrät,cha5,𪙻䕓察詧𣘤𥉻𩲺(𩴳)檫,,tʂʰʅæt˥,tschrät,7,黠,
3447,入15鎋,初,二,開,刪,入,山,初鎋,tʂʰʅat˥,tschrat,cha5,刹䓭,,tʂʰʅat˥,tschrat,2,黠,
3450,入15鎋,徹,二,開,刪,入,山,他鎋,ʈʰʅat˥,tchrat,cha5,獺,,ʈʰʅat˥,tchrat,1,黠,
609,下平2仙,徹,三,開,仙B,平,山,丑延,ʈʰɨæn˧˧,tchyän,chang1,脠梴鏈㢟,,ʈʰɨæn˧˧,tchyän,4,先,
645,下平2仙,昌,三,開,仙A,平,山,尺延,tɕʰiæn˧˧,tsjhiän,chang1,燀,,tɕʰiæn˧˧,tsjhiän,1,先,
566,上平28山,昌,二,開,山,平,山,充山,tɕʰʅæn˧˧,tsjhrän,chang1,㺗,,tɕʰʅæn˧˧,tsjhrän,1,刪,
1146,下平27銜,初,二,開,銜,平,咸,楚銜,tʂʰʅam˧˧,tschram,chang1,攙,,tʂʰʅam˧˧,tschram,1,咸,
812,下平10陽,昌,三,開,陽,平,宕,尺良,tɕʰɨaŋ˧˧,tsjhyang,chang1,昌裮倡猖閶琩鯧菖娼,,tɕʰɨaŋ˧˧,tsjhyang,8,陽,
